FID,latitude,longitude,country_na,event_date,event_time
559,13.8758,124.3099,Philippines,2011/09/26 00:00:00+00, 
561,28.67,115.89,China,2008/06/25 00:00:00+00, 
563,15.954,120.9766,Philippines,2016/10/20 00:00:00+00, 
568,18.7734,82.8555,India,2015/09/15 00:00:00+00,18:00
569,17.4038,121.1891,Philippines,2016/10/16 00:00:00+00, 
571,16.95,122.03,Philippines,2010/11/04 00:00:00+00,06:00
572,26.443,111.792,China,2007/06/11 00:00:00+00, 
573,26.0814,94.803,India,2010/08/14 00:00:00+00, 
574,27.33,103.71,China,2008/07/15 00:00:00+00, 
577,26.8366,88.0839,Nepal,2015/07/01 00:00:00+00,09:00
578,23.1333,106.4167,China,2008/05/09 00:00:00+00, 
580,23.3572,92.7878,India,2015/08/26 00:00:00+00, 
581,26.4333,94.8833,India,2010/06/17 00:00:00+00,19:00
582,27.0599,88.4674,India,2013/09/16 00:00:00+00,15:00
583,28.9012,118.512,China,2011/06/19 00:00:00+00,12:00
585,-6.9092,106.8762,Indonesia,2012/11/18 00:00:00+00, 
587,34.3752,106.7588,China,2013/07/26 00:00:00+00, 
589,25.0666,98.8225,China,2014/11/27 00:00:00+00,16:00
594,22.8833,104.5333,China,2008/08/09 00:00:00+00, 
597,10.71,125.01,Philippines,2012/02/17 00:00:00+00,09:00
598,34.6758,73.0428,Pakistan,2015/07/27 00:00:00+00, 
600,9.5988,76.5289,India,2011/08/07 00:00:00+00, 
601,-2.516,140.5146,Indonesia,2010/06/04 00:00:00+00, 
604,27.5964,85.1114,Nepal,2007/09/07 00:00:00+00, 
609,10.3281,123.8538,Philippines,2011/01/27 00:00:00+00,09:00
610,28.3594,82.1279,Nepal,2011/08/22 00:00:00+00, 
611,31.563000000000002,77.9796,India,2010/09/19 00:00:00+00, 
612,25.934,118.288,China,2007/06/11 00:00:00+00, 
620,31.7093,76.9297,India,2013/07/07 00:00:00+00, 
621,33.2361,75.2441,India,2012/02/19 00:00:00+00,07:00
623,7.902,123.7746,Philippines,2014/01/11 00:00:00+00, 
625,1.9345,99.5577,Indonesia,2014/11/22 00:00:00+00,01:00
629,22.533,92.899,India,2007/07/30 00:00:00+00, 
631,26.1699,91.7986,India,2007/07/19 00:00:00+00, 
632,8.306127,124.265675,Philippines,2016/11/01 00:00:00+00, 
643,27.357968,85.975127,Nepal,2016/09/11 00:00:00+00, 
649,31.01260519,78.88449525,India,2017/04/06 00:00:00+00, 
656,7.67449408,125.86039048,Philippines,2017/01/24 00:00:00+00,unknown
662,29.48397512,81.03043256,Nepal,2017/07/09 00:00:00+00, 
666,29.39496837,81.37064669,Nepal,2017/07/10 00:00:00+00,00:00
669,11.339839,76.84110600000001,India,2016/12/14 00:00:00+00,09:00
670,10.342048,123.861028,Philippines,2016/12/14 00:00:00+00,08:00
676,29.16952271,81.57140363,Nepal,2017/04/21 00:00:00+00,20:00
678,28.84665,112.36962,China,2017/09/10 00:00:00+00,15:00
681,26.89487026,88.35197240000001,India,2009/08/16 00:00:00+00,03:00
683,13.22925617,123.61008783,Philippines,2018/01/28 00:00:00+00,unknown
688,37.0903,108.5845,China,2013/07/15 00:00:00+00, 
689,31.1011,77.1793,India,2010/07/07 00:00:00+00, 
691,-6.9237,107.0,Indonesia,2015/03/28 00:00:00+00,23:00
692,28.058000000000003,83.3588,Nepal,2010/09/17 00:00:00+00, 
693,39.4394,141.192,Japan,2013/08/09 00:00:00+00, 
694,6.2189,124.6815,Philippines,2008/06/21 00:00:00+00, 
695,18.7687,73.3679,India,2015/08/01 00:00:00+00,15:00
697,34.0901,74.0256,India,2010/06/05 00:00:00+00, 
698,28.7565,103.4583,China,2016/03/08 00:00:00+00,18:00
700,27.0,86.71,Nepal,2008/07/24 00:00:00+00, 
703,8.1112,98.3153,Thailand,2016/08/31 00:00:00+00,13:00
705,-6.2899,145.8593,Papua New Guinea,2008/12/04 00:00:00+00, 
706,-6.9085,106.9284,Indonesia,2012/11/18 00:00:00+00, 
707,24.7844,115.0278,China,2010/05/06 00:00:00+00, 
708,10.1833,123.6833,Philippines,2010/10/15 00:00:00+00,00:00
710,32.5655,76.1201,India,2012/02/16 00:00:00+00, 
711,28.3667,82.1667,Nepal,2007/03/21 00:00:00+00, 
714,24.991999999999997,105.8107,China,2012/06/11 00:00:00+00, 
719,7.33288064,80.61756992,Sri Lanka,2018/05/14 00:00:00+00, 
720,33.41767901,131.09763285,Japan,2018/04/11 00:00:00+00,04:00
722,26.07821691,94.72071068,India,2018/05/12 00:00:00+00,unknown
723,36.11529819,74.24484991,Pakistan,2018/05/09 00:00:00+00, 
725,30.22385706,67.12785724,Pakistan,2018/05/05 00:00:00+00, 
730,27.23279809,88.59292517,India,2018/05/26 00:00:00+00, 
733,18.73761899,94.69713384,Myanmar,1970/01/01 00:00:00+00, 
734,18.73105803,94.71637224,Myanmar,1970/01/01 00:00:00+00, 
735,18.76459884,94.74616486,Myanmar,1970/01/01 00:00:00+00, 
736,18.77507529,94.67761186,Myanmar,1970/01/01 00:00:00+00, 
737,18.755401199999998,94.68796731,Myanmar,1970/01/01 00:00:00+00, 
738,18.74500612,94.72835102,Myanmar,1970/01/01 00:00:00+00, 
739,18.745407,94.7232011,Myanmar,1970/01/01 00:00:00+00, 
740,18.77050708,94.7073285,Myanmar,1970/01/01 00:00:00+00, 
741,18.06853011,95.00359748,Myanmar,1970/01/01 00:00:00+00, 
742,18.21319019,94.71454324,Myanmar,1970/01/01 00:00:00+00, 
743,13.41309343,99.12413442,Myanmar,1970/01/01 00:00:00+00, 
744,9.987465499999999,98.24907386,Myanmar,1970/01/01 00:00:00+00, 
745,14.97394512,97.94169791,Myanmar,1970/01/01 00:00:00+00, 
746,23.90468098,93.65572622,Myanmar,1970/01/01 00:00:00+00, 
747,23.89408417,93.66077546,Myanmar,1970/01/01 00:00:00+00, 
748,20.82222531,92.84830589,Myanmar,1970/01/01 00:00:00+00, 
749,12.75380833,123.90842236,Philippines,2018/12/28 00:00:00+00, 
753,11.329547,76.801586,India,2016/11/16 00:00:00+00, 
756,23.65637182,93.02746602,India,2017/06/17 00:00:00+00, 
757,27.61274095,85.09556375,Nepal,2017/06/21 00:00:00+00, 
759,33.43537575,75.19067397,India,2016/12/26 00:00:00+00,07:00
