landslide,forest2,ARI3,osm,slope
1,1,3.651234996,3699,0.0
1,1,2.610267323,3891,24.165
1,1,0.07351442400000001,3902,20.03
1,1,0.306808509,4284,1.17
1,1,0.006374657,4297,14.138
1,1,0.0,4599,25.108
1,1,0.950230425,4617,22.148000000000003
1,1,0.0,4652,0.871
1,1,1.010919038,5015,17.965
1,1,7.502568612,5028,15.294
1,1,4.072091,-1,27.378
1,1,1.6775473319999998,5051,26.522
1,1,0.3688860470000001,5157,9.562
1,1,0.516684728,5548,26.095
1,1,0.412061602,5548,10.4
1,0,0.33650841299999995,5551,6.6789999999999985
1,1,2.036947139,5553,13.483
1,1,1.441275906,5556,3.797
1,1,0.860322258,5614,21.676
1,1,3.4738339060000003,5621,19.817
1,1,6.024838665,5638,7.16
1,1,0.4246493,5991,12.385
1,1,6.892383409,6025,18.843
1,1,1.6764242669999998,6044,9.397
1,1,0.013752386,6102,3.304
1,1,2.445930156,6132,36.264
1,1,0.471348165,6271,15.817
1,1,0.82530214,6610,0.0
1,1,0.024233072,9867,2.773
1,1,1.980529922,9873,4.838
1,1,0.223675477,9910,15.225
1,1,3.768160836,9912,19.464
1,1,1.1281643609999998,9914,27.533
1,1,1.089131959,9966,3.198
1,1,1.469480015,9966,1.874
1,1,0.038557303,10014,26.84
1,1,0.601373551,10067,19.891
1,1,1.591260345,10069,26.13
1,1,0.530142005,10106,1.626
1,1,1.293905453,10203,21.107
1,1,2.839569373,10404,12.129
1,1,0.578935882,10568,0.727
1,0,0.0,10568,5.1389999999999985
1,1,1.344695348,10847,0.0
1,1,0.334558892,10874,18.46
1,1,0.027767258,10913,19.396
1,1,2.277962435,10913,0.0
1,1,3.290886115,10934,5.627000000000002
1,1,0.001837401,11108,23.052
1,1,3.563498337,11111,23.651
1,1,0.009995463,11158,0.0
1,1,0.066146445,11174,22.381
1,1,0.35634334700000003,11214,0.0
1,1,4.976144532,11403,0.0
1,1,2.664128678,11499,4.7639999999999985
1,1,0.28112239,11548,14.678
1,1,1.299669268,11571,10.422
1,1,0.2437129,11614,1.75
1,1,0.5971554029999999,11683,4.385
1,1,5.198408586,11726,19.919
1,1,0.104538381,11762,10.27
1,1,0.036701152,11815,21.757
1,1,2.347281209,12632,30.007
1,1,3.154240085,12632,27.655
1,1,3.845588925,12806,2.762
1,1,3.594079818,12955,12.602
1,1,1.020590893,13507,4.452
1,1,0.19262714600000005,13849,7.684
1,1,4.609137134,13879,16.041
1,1,1.157147678,13903,0.0
1,1,5.286959326,13912,21.548
1,1,1.655135161,13943,40.099
1,1,2.156582209,13949,8.774
1,1,2.463955062,14074,27.78
1,1,3.701681035,14098,5.064
1,1,0.012861808999999998,14181,1.254
1,1,0.414952696,14363,25.086
1,1,6.43274174,14373,0.758
1,1,3.502546113,14400,27.32
1,0,0.110121081,14729,1.65
1,1,2.150567907,14867,2.37
1,1,3.415203933,14965,22.169
1,1,1.202138135,14970,21.031
1,1,3.686951826,14990,28.523000000000003
1,1,2.398974055,15028,14.603
1,1,0.137064508,15047,1.948
1,1,2.433058223,15055,1.19
1,1,1.5119862309999998,15128,5.185
1,1,0.950083433,15158,6.95
1,1,4.607039872,15224,31.693
1,1,4.51999505,15245,16.685
1,1,0.4820995870000001,15303,19.635
1,1,3.184059232,15303,16.918
1,1,2.670866691,15309,25.912
1,1,0.840498573,15333,16.069000000000006
1,1,1.9237201,15349,9.667
1,1,1.705370836,15537,8.645
1,1,1.85210045,15554,0.0
1,1,0.022662657000000003,15604,27.54
1,1,0.777560081,16010,23.389
1,1,1.415019443,16173,20.64
1,1,3.1966371810000003,16825,25.996
1,1,2.449513089,16883,21.763
1,1,0.155991615,16899,25.646
1,1,0.019873932,16910,25.242
1,1,4.573638542,17102,26.323
1,1,1.85210045,17133,0.0
1,1,3.799492277,17175,26.529
1,1,0.012071726,17196,8.052999999999999
